Código;Descripción;C.p.a
1263;Anis Filtrante;2,00
1286;Avena Con Durazno 12 Oz;0,60
1287;Avena Con Durazno 16 Oz;1,00
1256;Cafe Con Leche 12 Onz Maquina;1,00
1258;Cafe Con Leche 12 Onz;2,00
1242;Cafe Pasado 12 Oz;4,24
1246;Cafe Americano 12 Oz;2,80
1245;Cafe Capuccino 12 Oz;2,80
1244;Capuccino Descremado;10,00
1243;Capuccino Deslactosado;10,00
1315;Manicho Con Mani;1,20
1319;Chocolate Caliente 12 Oz;3,09
1255;Expreso;2,22
1264;Hierba Luisa Filtrante;0,09
1262;Manzanilla Filtrante;2,00
1300;Quinua Con Piña 8 Oz;6,00
1310;Siete Semillas 12 Oz;3,00
1260;Te Canela Y Clavo Filtrante;0,09
1259;Te Filtrante;0,06
1261;Te Naranja Filtrante;1,00
1267;Te Verde Filtrante;4,44
9928;Cafe Mocaccino 12 Oz;3,09
3100;Avena De Frutos Secos;1,00
3115;Leche Caliente;5,00
1330;Expreso Doble;2,22
1331;Cafe Cortado;2,22
1352;Termo De Chocolate Caliente;13,00
1353;Cafe Pasado Economico 12 Oz;0,90
1235;Chicha Morada 12 Oz;1,00
1236;Chicha Morada 16 Oz;1,00
1165;Jugo De Papaya Y Piña 12oz;1,50
1211;Jugo De Fresa 12 Oz;1,00
1212;Jugo De Fresa 16 Oz;5,93
1149;Jugo De Fresa Con Leche 12oz;2,00
1150;Jugo De Fresa Con Leche 16 Oz;6,78
1156;Jugo Especial 16 Oz;1,90
1137;Jugo De Mango 12oz;1,00
1138;Jugo De Mango 16oz;1,00
1141;Batido Frutos Rojos;8,00
1174;Jugo De Arandano Con Leche 16 Oz;4,00
1176;Batido Arandano;1,50
1177;Jugo De Naranja 12 Oz;1,00
1178;Jugo De Naranja 16 Oz;5,93
1121;Jugo De Papaya 12 Oz;6,08
1122;Jugo De Papaya 16 Oz;5,08
1129;Jugo De Piña 12 Oz;1,00
1207;Jugo Surtido 12 Oz;2,00
1208;Jugo Surtido 16 Oz;2,00
1237;Maracuya 12 Oz;1,00
1238;Maracuya 16 Oz;1,00
1322;Refresco Chicha Morada;1,00
1323;Refresco Chicha Morada 500 Ml;1,00
1321;Refresco Del Dia;1,00
1332;Jugo De Lucuma Con Leche;9,00
1345;Botella De Chicha Morada 340 Ml;1,69
1346;Botella De Maracuya 340 Ml;0,31
1347;Leche Deslactosada Adicional;0,31
1324;Vaso De Refresco;0,05
1138-1;Jugo De Mango Con Leche 16oz;1,00
0216;Ensalada Choclona;13,56
0210;Ensalada Clasiquera Univ;8,00
0213;Ensalada Cocida Univ;18,00
0214;Ensalada Delicia Univ;18,00
0211;Ensalada Peruana Univ;18,00
0212;Ensalada Popeye Univ;18,00
0215;Ensalada Victoria Univ;18,00
0223;Ensalada Lenteja;16,36
0224;Ensalada Americana;16,36
0225;Ensalada Pasta Capresse;16,36
0226;Ensalada Tabule;16,36
0227;Ensalada Del Huerto;16,36
0228;Ensalada Mi Camote;16,36
0229;Ensalada La Iqueña;16,36
0231;Ensalada Divertida;16,36
0232;Ensalada Mediterranea;18,00
0235;Ensalada La Soltera;16,36
0236;Ensalada Arcoiris;16,36
0271;Ensalada Clasiquera;12,71
0272;Ensalada Cocida;16,36
0181;Ensalada Peruana;12,71
0270;Poke Bowl;5,00
7005;Aliño De La Casa;0,95
7007;Aliño Honey Mustard;2,65
7017;Aliño Limonera;4,37
2152;Entrada Sola;2,00
