Codigo,Producto,Precio,Grupo
"M028","Almuero Segundo Solo Copsa",9.00,"Empresas"
"M026","Almuerzo Completo Copsa",11.00,"Empresas"
"M027","Almuerzo Con Postre O Entrada Copsa",9.50,"Empresas"
"M029","Cena Completo Copsa",11.00,"Empresas"
"M030","Cena Con Postre O Entrada Copsa",9.50,"Empresas"
"2152","Entrada Sola",4.00,"Empresas"
"M005","Menu Completo Callao",11.00,"Empresas"
"M001","Menu Economico",13.00,"Empresas"
"M002","Menu Ejecutivo 1",14.90,"Empresas"
"M021","Menu Ejecutivo 1 Sin Postre O Entrada",13.00,"Empresas"
"M047","Menu Segundo Solo",10.00,"Empresas"
"2153","Postre Solo",3.00,"Empresas"
"2154","Presa Adicional",5.00,"Empresas"
"M049","Segundo Con Postre",9.50,"Empresas"
"M048","Segundo Solo",9.00,"Empresas"
"1031","Coca Cola 3 L",15.50,"Gaseosas"
"1029","Coca Cola 500 Ml",3.50,"Gaseosas"
"2345","Coca Cola Mini 300 Ml",2.50,"Gaseosas"
"1032","Coca Cola Zero 500 Ml",3.50,"Gaseosas"
"1034","Fanta Kola Inglesa 500 Ml",3.50,"Gaseosas"
"1036","Fanta Naranja 500 Ml",3.50,"Gaseosas"
"1549","Hey Fit Golden Fizz Botella 600 Ml",3.50,"Gaseosas"
"1550","Hey Fit Summer Breeze Botella 600 Ml",3.50,"Gaseosas"
"1551","Hey Fit Tango Twist Botella 600 Ml",3.50,"Gaseosas"
"1040","Inca Kola 1.5 L",9.00,"Gaseosas"
"1041","Inca Kola 3l",15.00,"Gaseosas"
"1039","Inca Kola 500 Ml",3.50,"Gaseosas"
"2346","Inca Kola Mini 300 Ml",2.50,"Gaseosas"
"1042","Inca Kola Zero 500 Ml",3.50,"Gaseosas"
"1044","Sprite 400 Ml",3.50,"Gaseosas"
"2275","Choripan",6.00,"Sandwich's Vitrina"
"1023","Combo Sandwich + Pepsi",5.00,"Sandwich's Vitrina"
"3049","Croissant de Pollo",8.00,"Sandwich's Vitrina"
"3052","Croissant de Pollo Con Apio",8.00,"Sandwich's Vitrina"
"3051","Croissant de Pollo Con Durazno",8.00,"Sandwich's Vitrina"
"3200","Croissant Huevo Tocino",8.00,"Sandwich's Vitrina"
"3050","Croissant Mixto",6.00,"Sandwich's Vitrina"
"3050-1","Croissant Mixto Completo",8.00,"Sandwich's Vitrina"
"3038","Hamburguesa",8.00,"Sandwich's Vitrina"
"3041","Hamburguesa Royal",10.00,"Sandwich's Vitrina"
"3075","Mixto Caliente",6.00,"Sandwich's Vitrina"
"3076","Mixto Completo",8.00,"Sandwich's Vitrina"
"3018","Pita Capresse",8.00,"Sandwich's Vitrina"
"3016","Pita Con Palta",5.00,"Sandwich's Vitrina"
"3015","Pita Con Pollo",7.00,"Sandwich's Vitrina"
"3017","Pita Con Pollo y Palta",8.00,"Sandwich's Vitrina"
"3022","Pita Mixto",6.00,"Sandwich's Vitrina"
"3059","Sandwich Butifarra",8.00,"Sandwich's Vitrina"
"3054","Sandwich Con Milanesa",8.00,"Sandwich's Vitrina"
"3073","Sandwich de Filete de Pollo",8.00,"Sandwich's Vitrina"
"3068","Sandwich de Hot Dog",6.00,"Sandwich's Vitrina"
"3081","Sandwich de Pollo Ciabatta",7.00,"Sandwich's Vitrina"
"3061","Sandwich de Pollo en Pan Hamburguesa",7.00,"Sandwich's Vitrina"
"3069","Sandwich Frankfurter",8.00,"Sandwich's Vitrina"
"3079","Sandwich Panini Con Pollo",8.00,"Sandwich's Vitrina"
"3062","Sandwich Poderoso",9.00,"Sandwich's Vitrina"
"3063","Sandwich Proteico",9.00,"Sandwich's Vitrina"
"3132","Sandwich Tres Jamones",8.00,"Sandwich's Vitrina"
"3043","Triple Clasico",8.00,"Sandwich's Vitrina"
"3046","Triple de Jamon+ Huevo y Pollo",7.00,"Sandwich's Vitrina"
"3044","Triple Jamon, Queso y Pollo",8.00,"Sandwich's Vitrina"
"3125","Triple Pollo, Jamon y Durazno",8.00,"Sandwich's Vitrina"
"3045","Triple Vegetariano",6.00,"Sandwich's Vitrina"
"1263","Anis Filtrante",2.50,"Bebidas Calientes"
"1286","Avena Con Durazno 12 Oz",2.00,"Bebidas Calientes"
"1287","Avena Con Durazno 16 Oz",3.50,"Bebidas Calientes"
"1246","Cafe Americano 12 Oz",7.00,"Bebidas Calientes"
"1245","Cafe Capuccino 12 Oz",8.00,"Bebidas Calientes"
"1258","Cafe Con Leche 12 Onz",8.00,"Bebidas Calientes"
"9928","Cafe Mocaccino 12 Oz",9.00,"Bebidas Calientes"
"1242","Cafe Pasado 12 Oz",5.00,"Bebidas Calientes"
"1264","Hierba Luisa Filtrante",2.50,"Bebidas Calientes"
"1262","Manzanilla Filtrante",2.00,"Bebidas Calientes"
"1300","Quinua Con Piña 8 Oz",2.00,"Bebidas Calientes"
"1260","Te Canela y Clavo Filtrante",3.00,"Bebidas Calientes"
"1350","Termo de Cafe",35.00,"Bebidas Calientes"
"1236","Chicha Morada 16 Oz",3.00,"Bebidas Frías"
"1212","Jugo de Fresa 16 Oz",7.00,"Bebidas Frías"
"1149","Jugo de Fresa Con Leche 12oz",5.00,"Bebidas Frías"
"1150","Jugo de Fresa Con Leche 16 Oz",8.00,"Bebidas Frías"
"1332","Jugo de Lucuma Con Leche",8.00,"Bebidas Frías"
"1138","Jugo de Mango 16oz",7.00,"Bebidas Frías"
"1178","Jugo de Naranja 16 Oz",7.00,"Bebidas Frías"
"1122","Jugo de Papaya 16 Oz",6.00,"Bebidas Frías"
"1165","Jugo de Papaya y Piña 12oz",6.00,"Bebidas Frías"
"1130","Jugo de Piña 16 Oz",6.00,"Bebidas Frías"
"1156","Jugo Especial 16 Oz",8.00,"Bebidas Frías"
"1208","Jugo Surtido 16 Oz",7.00,"Bebidas Frías"
"1321","Refresco del Dia",1.00,"Bebidas Frías"
"1324","Vaso de Refresco",0.50,"Bebidas Frías"
"2088","Alfajor Chico",5.00,"Bocaditos Dulces"
"2087","Alfajor de Maicena",5.00,"Bocaditos Dulces"
"3107","Alfajor de Maicena Chico",3.00,"Bocaditos Dulces"
"1188","Brownie Con Castañas",5.00,"Bocaditos Dulces"
"1187","Brownie Con Cookies And Cream",5.00,"Bocaditos Dulces"
"1190","Brownie Light",5.00,"Bocaditos Dulces"
"1191","Brownie Trufado",5.00,"Bocaditos Dulces"
"2261","Milhojas",9.00,"Bocaditos Dulces"
"2292","Milhojas de Fresa",8.00,"Bocaditos Dulces"
"2401","Relampago de Chocolate",7.50,"Bocaditos Dulces"
"2097","Empanada de Carne Normal",6.00,"Bocaditos Salados"
"2096","Empanada de Pollo Normal",6.00,"Bocaditos Salados"
"2098","Empanada Mixta Normal",6.00,"Bocaditos Salados"
"2332","Enrollado de Hot Dog",3.00,"Bocaditos Salados"
"2256","Enrollado de Pollo",9.00,"Bocaditos Salados"
"5503","Enrollado de Pollo a la Brasa",10.00,"Bocaditos Salados"
"5504","Enrollado de Pollo C/ Bbq",10.00,"Bocaditos Salados"
"2257","Enrollado Vegetariano",9.00,"Bocaditos Salados"
"2250","Enrrollado de Hot Dog",3.00,"Bocaditos Salados"
"0216","Ensalada Choclona",18.00,"Ensaladas Regular"
"0272","Ensalada Cocida",16.00,"Ensaladas Regular"
"PTE-0191","Ensalada Primavera",18.00,"Ensaladas Regular"
"4031","Bistec a la Plancha Con Papas Fritas y Arroz",16.00,"Bistec"
"4053","Bistec a Lo Pobre",20.00,"Bistec"
"4072","Broaster",6.00,"Broaster"
"4069","Broaster Con Arroz Chaufa",15.00,"Broaster"
"6034","Chaufa Amazonico",17.00,"Chaufa"
"4082","Chaufa de Carne",17.00,"Chaufa"
"4073","Chaufa de Pollo",17.00,"Chaufa"
"4074","Chaufa de Pollo - Chico",5.00,"Chaufa"
"4097","Porcion de Arroz",3.00,"Complementos"
"4094","Porcion de Huevo Frito",2.50,"Complementos"
"4100","Porcion de Palta",2.50,"Complementos"
"2227","Porcion de Papa Frita",5.00,"Complementos"
